"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 15:21:12 CST 2023","Tue May 09 15:21:12 CST 2023","125","TestCase.Ad.15512_14369","test_gphone_15512santu_14369","","","","test_diff[gphone15512三图模板播放页剧集下方14369数据返回]",""
"passed","Tue May 09 15:21:13 CST 2023","Tue May 09 15:21:13 CST 2023","94","TestCase.Ad.15512_14369","test_gphone_15512xiaotutuwen","","","","test_diff[gphone15512小图图文加密数据返回]",""
"passed","Tue May 09 15:21:23 CST 2023","Tue May 09 15:21:23 CST 2023","94","TestCase.Ad.pad","test_iphone_padBiaoBanShiPin","","","","test_diff[测试iphone暂停标版视频加密返回]",""
"passed","Tue May 09 15:21:14 CST 2023","Tue May 09 15:21:14 CST 2023","163","TestCase.Ad.16107","test_iphone_16107","","","","test_diff[iphone视频流数据返回]",""
"passed","Tue May 09 15:21:14 CST 2023","Tue May 09 15:21:15 CST 2023","55","TestCase.Ad.16108","test_gphone_16108","","","","test_diff[gphone瀑布流加密数据返回]",""
"passed","Tue May 09 15:21:20 CST 2023","Tue May 09 15:21:20 CST 2023","319","TestCase.Ad.oad","test_iphone_oad","","","","test_diff[iphone前贴数据返回]",""
"passed","Tue May 09 15:21:12 CST 2023","Tue May 09 15:21:12 CST 2023","43","TestCase.Ad.14967","test_iphone_14967","","","","test_diff[iphone搜索结果页数据返回]",""
"passed","Tue May 09 15:21:24 CST 2023","Tue May 09 15:21:24 CST 2023","90","TestCase.Ad.wrapframe","test_iphone_wrapframe","","","","test_diff[iphone片尾画中画加密数据返回]",""
"passed","Tue May 09 15:21:24 CST 2023","Tue May 09 15:21:24 CST 2023","39","TestCase.Ad.topcloud","test_iphone__topcloud","","","","test_diff[iphone红包雨数据返回]",""
"passed","Tue May 09 15:21:17 CST 2023","Tue May 09 15:21:17 CST 2023","140","TestCase.Ad.mad","test_iphone_mad","","","","test_diff[测试iphone中插广告返回]",""
"passed","Tue May 09 15:21:15 CST 2023","Tue May 09 15:21:15 CST 2023","65","TestCase.Ad.16108","test_iphone_16108","","","","test_diff[iphone瀑布流加密数据返回]",""
"passed","Tue May 09 15:21:24 CST 2023","Tue May 09 15:21:24 CST 2023","47","TestCase.Ad.topcloud","test_iphone__topcloud","","","","test_diff[iphone红包雨加密数据返回]",""
"passed","Tue May 09 15:21:15 CST 2023","Tue May 09 15:21:15 CST 2023","69","TestCase.Ad.flogo","test_gphone_flogo","","","","test_diff[gphone角标数据返回]",""
"passed","Tue May 09 15:21:13 CST 2023","Tue May 09 15:21:13 CST 2023","77","TestCase.Ad.15512_14369","test_iphone_15512xiaotutuwen","","","","test_diff[iphone15512小图图文加密数据返回]",""
"passed","Tue May 09 15:21:18 CST 2023","Tue May 09 15:21:18 CST 2023","83","TestCase.Ad.minimad","test_iphone_minimad","","","","test_diff[iphone迷你中插数据返回]",""
"passed","Tue May 09 15:21:18 CST 2023","Tue May 09 15:21:18 CST 2023","112","TestCase.Ad.minimad","test_gphone_minimad","","","","test_diff[gphone迷你中插加密数据返回]",""
"passed","Tue May 09 15:21:15 CST 2023","Tue May 09 15:21:15 CST 2023","142","TestCase.Ad.AD00071AD00072AD00073","test_gphone_AD00071AD00072AD00073","","","","test_diff[gphonePGC播放页数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","39","TestCase.Ad.open","test_gphone_open","","","","test_diff[gphone启动图加密数据返回]",""
"passed","Tue May 09 15:21:13 CST 2023","Tue May 09 15:21:13 CST 2023","103","TestCase.Ad.15512_14369","test_iphone_15512tonglanshipin","","","","test_diff[iphone15512通栏视频加密数据返回]",""
"passed","Tue May 09 15:21:20 CST 2023","Tue May 09 15:21:20 CST 2023","105","TestCase.Ad.oad","test_gphone_oadLianDong","","","","test_diff[gphone前贴联动数据返回]",""
"passed","Tue May 09 15:21:16 CST 2023","Tue May 09 15:21:16 CST 2023","106","TestCase.Ad.focus","test_iphone_focus","","","","test_diff[iphone焦点图加密数据返回]",""
"passed","Tue May 09 15:21:14 CST 2023","Tue May 09 15:21:14 CST 2023","157","TestCase.Ad.16107","test_gphone_16107","","","","test_diff[gphone视频流数据返回]",""
"passed","Tue May 09 15:21:12 CST 2023","Tue May 09 15:21:13 CST 2023","88","TestCase.Ad.15512_14369","test_gphone_15512tonglanshipin","","","","test_diff[gphone15512通栏视频加密数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","72","TestCase.Ad.open","test_iphone_open","","","","test_diff[iphone启动图数据返回]",""
"passed","Tue May 09 15:21:24 CST 2023","Tue May 09 15:21:24 CST 2023","39","TestCase.Ad.topcloud","test_gphone_topcloud","","","","test_diff[gphone红包雨数据返回]",""
"passed","Tue May 09 15:21:12 CST 2023","Tue May 09 15:21:12 CST 2023","46","TestCase.Ad.14967","test_iphone_14967","","","","test_diff[iphone搜索结果页加密数据返回]",""
"passed","Tue May 09 15:21:16 CST 2023","Tue May 09 15:21:16 CST 2023","70","TestCase.Ad.frontframe","test_gphone_frontframe","","","","test_diff[gphone片头画中画加密数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","97","TestCase.Ad.open","test_iphone_open","","","","test_diff[iphone启动图加密数据返回]",""
"passed","Tue May 09 15:21:20 CST 2023","Tue May 09 15:21:20 CST 2023","122","TestCase.Ad.oad","test_gphone_oadLianDong","","","","test_diff[gphone前贴联动加密数据返回]",""
"passed","Tue May 09 15:21:14 CST 2023","Tue May 09 15:21:14 CST 2023","93","TestCase.Ad.15512_14369","test_iphone_15512xiaotutuwenxiazai","","","","test_diff[iphone15512小图图文下载加密数据返回]",""
"passed","Tue May 09 15:21:24 CST 2023","Tue May 09 15:21:24 CST 2023","124","TestCase.Ad.pad","test_iphone_padTuPian","","","","test_diff[测试iphone暂停图片加密返回]",""
"passed","Tue May 09 15:21:16 CST 2023","Tue May 09 15:21:16 CST 2023","145","TestCase.Ad.mad","test_gphone_mad","","","","test_diff[测试gphone中插加密广告返回]",""
