"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 14:32:10 CST 2023","Tue May 09 14:32:10 CST 2023","160","TestCase.Ad.AD00071AD00072AD00073","test_gphone_AD00071AD00072AD00073","","","","test_diff[gphonePGC播放页加密数据返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:11 CST 2023","81","TestCase.Ad.focus","test_gphone_focus","","","","test_diff[gphone焦点图数据返回]",""
"passed","Tue May 09 14:32:09 CST 2023","Tue May 09 14:32:09 CST 2023","51","TestCase.Ad.16108","test_gphone_16108","","","","test_diff[gphone瀑布流加密数据返回]",""
"passed","Tue May 09 14:32:10 CST 2023","Tue May 09 14:32:10 CST 2023","159","TestCase.Ad.AD00071AD00072AD00073","test_iphone_AD00071AD00072AD00073","","","","test_diff[iphonePGC播放页加密数据返回]",""
"passed","Tue May 09 14:32:09 CST 2023","Tue May 09 14:32:09 CST 2023","61","TestCase.Ad.16108","test_iphone_16108","","","","test_diff[iphone瀑布流数据返回]",""
"passed","Tue May 09 14:32:10 CST 2023","Tue May 09 14:32:10 CST 2023","136","TestCase.Ad.AD00071AD00072AD00073","test_iphone_AD00071AD00072AD00073","","","","test_diff[iphonePGC播放页数据返回]",""
"passed","Tue May 09 14:32:08 CST 2023","Tue May 09 14:32:09 CST 2023","67","TestCase.Ad.15512_14369","test_iphone_15512xiaotutuwenxiazai","","","","test_diff[iphone15512小图图文下载数据返回]",""
"passed","Tue May 09 14:32:07 CST 2023","Tue May 09 14:32:07 CST 2023","57","TestCase.Ad.14967","test_gphone_14967","","","","test_diff[gphone搜索结果页数据返回]",""
"passed","Tue May 09 14:32:10 CST 2023","Tue May 09 14:32:11 CST 2023","83","TestCase.Ad.flogo","test_iphone_flogo","","","","test_diff[iphone角标加密数据返回]",""
"passed","Tue May 09 14:32:09 CST 2023","Tue May 09 14:32:09 CST 2023","41","TestCase.Ad.16108","test_gphone_16108","","","","test_diff[gphone瀑布流数据返回]",""
"passed","Tue May 09 14:32:12 CST 2023","Tue May 09 14:32:12 CST 2023","140","TestCase.Ad.mad","test_iphone_mad","","","","test_diff[测试iphone中插广告返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:11 CST 2023","72","TestCase.Ad.frontframe","test_iphone_frontframe","","","","test_diff[iphone片头画中画加密数据返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:11 CST 2023","60","TestCase.Ad.frontframe","test_gphone_frontframe","","","","test_diff[gphone片头画中画数据返回]",""
"passed","Tue May 09 14:32:08 CST 2023","Tue May 09 14:32:08 CST 2023","125","TestCase.Ad.15512_14369","test_iphone_15512santu_14369","","","","test_diff[iphone15512三图模板播放页剧集下方14369加密数据返回]",""
"passed","Tue May 09 14:32:12 CST 2023","Tue May 09 14:32:12 CST 2023","242","TestCase.Ad.mainPage","test_gphone_mainPage","","","","test_diff[测试gphone首页框外加密返回]",""
